                                         The SAS System     11:42 Thursday, November 1, 2001   1

                    Obs     env     rep    block    entry     line     yield
                    557    96NAS     3        9       82     K557-3     22.5
                    558    96NAS     3        2       83     K546-4     33.8
                    559    96NAS     3        2       84     K563-4     41.2
                    560    96NAS     3        2       85     K567-3     19.7
                    561    96NAS     3        4       86     K571-3       .
                    562    96NAS     3        4       87     K573-3     26.0
                    563    96NAS     3       12       88     K574-3     34.6
                    564    96NAS     3        9       89     K491-1     27.4
                    565    96NAS     3       11       90     K564-2     31.3
                    566    96NAS     3       12       91     K528-4     39.6
                    567    96NAS     3        3       92     K466-3     31.0
                    568    96NAS     3        4       93     K575-3     31.2
                    569    96NAS     3        6       94     K511-2     23.2
                    570    96NAS     3       10       95     K557-2     23.1
                    571    97AME     1        8        1     K475-1     40.5
                    572    97AME     1        1        2     K478-1     24.4
                    573    97AME     1        9        3     K483-1     51.4
                    574    97AME     1       11        4     K489-1     31.2
                    575    97AME     1        6        5     K490-1     49.1
                    576    97AME     1        2        6     K492-1     47.6
                    577    97AME     1        5        7     K493-1     49.7
                    578    97AME     1        4        8     K498-1     20.2
                    579    97AME     1        2        9     K499-1     25.6
                    580    97AME     1        5       10     K500-1     36.3
                    581    97AME     1        6       11     K505-1     33.3
                    582    97AME     1       10       12     K507-1       .
                    583    97AME     1        3       13     K510-1     33.1
                    584    97AME     1        1       14     K528-1     16.4
                    585    97AME     1        5       15     K530-1     43.8
                    586    97AME     1        4       16     K533-1     54.3
                    587    97AME     1        4       17     K535-1     36.1
                    588    97AME     1        3       18     K536-1     54.4
                    589    97AME     1       12       19     K538-1     44.7
                    590    97AME     1        2       20     K546-1     33.9
                    591    97AME     1       11       21     K551-1     37.9
                    592    97AME     1        6       22     K553-1     36.2
                    593    97AME     1        8       23     K555-1     39.4
                    594    97AME     1        9       24     K557-1     35.6
                    595    97AME     1        6       25     K567-1     38.7
                    596    97AME     1        6       26     K569-1     37.9
                    597    97AME     1       12       27     K571-1     46.6
                    598    97AME     1        7       28     K576-1     37.2
                    599    97AME     1       11       29     K577-1     23.1
                    600    97AME     1        9       30     K468-2     44.5
                                         The SAS System     11:42 Thursday, November 1, 2001  13

                    Obs     env     rep    block    entry     line     yield

                    601    97AME     1        6       31     K480-2     36.0
                    602    97AME     1        5       32     K487-2     21.2
                    603    97AME     1       11       33     K490-2     30.6
                    604    97AME     1        4       34     K492-2     28.3
                    605    97AME     1       10       35     K494-2     42.1
                    606    97AME     1        8       36     K495-2     39.6
                    607    97AME     1        6       37     K497-2     57.5
                    608    97AME     1        9       38     K498-2     44.1
                    609    97AME     1        7       39     K499-2     38.7
                    610    97AME     1        8       40     K514-2     46.6
                    611    97AME     1        6       41     K507-2     48.6
                    612    97AME     1        8       42     K508-2     47.4
                    613    97AME     1       11       43     K515-2     51.8
                    614    97AME     1       12       44     K573-4     49.3
                    615    97AME     1        8       45     K524-2     31.0
                    616    97AME     1        4       46     K525-2     43.4
                    617    97AME     1        1       47     K534-2     55.2
                    618    97AME     1       10       48     K542-2     55.3
                    619    97AME     1        6       49     K543-2     47.3
                    620    97AME     1        8       50     K555-2     40.7
                    621    97AME     1        5       51     K561-2     36.1
                    622    97AME     1        4       52     K566-2     27.1
                    623    97AME     1        9       53     K569-2     38.3
                    624    97AME     1        2       54     K573-2     28.9
                    625    97AME     1        8       55     K577-2     34.4
                    626    97AME     1        9       56     K469-3     39.4
                    627    97AME     1       11       57     K471-3       .
                    628    97AME     1        7       58     K473-3     52.1
                    629    97AME     1        3       59     K531-4     35.0
                    630    97AME     1       10       60     K487-4     41.6
                    631    97AME     1       11       61     K491-3     39.1
                    632    97AME     1        2       62     K495-3     33.1
                    633    97AME     1       12       63     K501-3     32.1
                    634    97AME     1        3       64     K502-3     25.3
                    635    97AME     1        5       65     K556-4     44.5
                    636    97AME     1       10       66     K513-3     46.7
                    637    97AME     1        7       67     K514-3     41.3
                    638    97AME     1        5       68     K469-4     13.0
                    639    97AME     1        2       69     K524-3     49.6
                    640    97AME     1        1       70     K526-3     36.7
                    641    97AME     1        3       71     K530-3     45.6
                    642    97AME     1        6       72     K531-3     43.7
                    643    97AME     1       11       73     K532-3      8.2
                    644    97AME     1       11       74     K538-3     25.0
                    645    97AME     1        1       75     K544-3     45.1
                    646    97AME     1        4       76     K546-3     40.8
                    647    97AME     1        6       77     K543-4     31.8
                    648    97AME     1       12       78     K550-3     50.7
                    649    97AME     1        3       79     K552-3       .
                    650    97AME     1        3       80     K555-3     47.3
                                         The SAS System     11:42 Thursday, November 1, 2001  14

                    Obs     env     rep    block    entry     line     yield

                    651    97AME     1        9       81     K556-3     18.7
                    652    97AME     1        7       82     K557-3     43.5
                    653    97AME     1        8       83     K546-4     37.7
                    654    97AME     1       10       84     K563-4     46.7
                    655    97AME     1        4       85     K567-3     19.8
                    656    97AME     1        4       86     K571-3       .
                    657    97AME     1        3       87     K573-3     29.2
                    658    97AME     1        4       88     K574-3     23.8
                    659    97AME     1       10       89     K491-1       .
                    660    97AME     1        1       90     K564-2     17.8
                    661    97AME     1        7       91     K528-4     43.3
                    662    97AME     1        3       92     K466-3     46.4
                    663    97AME     1        7       93     K575-3     43.1
                    664    97AME     1        3       94     K511-2     28.5
                    665    97AME     1        3       95     K557-2     39.5
                    666    97AME     2        3        1     K475-1     36.2
                    667    97AME     2        4        2     K478-1     49.6
                    668    97AME     2        1        3     K483-1     53.0
                    669    97AME     2        4        4     K489-1     40.3
                    670    97AME     2        6        5     K490-1     42.4
                    671    97AME     2        1        6     K492-1     43.8
                    672    97AME     2        6        7     K493-1     50.5
                    673    97AME     2        1        8     K498-1     49.1
                    674    97AME     2        2        9     K499-1     31.7
                    675    97AME     2       10       10     K500-1     33.2
                    676    97AME     2       10       11     K505-1     44.2
                    677    97AME     2        9       12     K507-1       .
                    678    97AME     2        9       13     K510-1     27.1
                    679    97AME     2        7       14     K528-1     43.8
                    680    97AME     2        1       15     K530-1     40.9
                    681    97AME     2        4       16     K533-1     30.2
                    682    97AME     2       10       17     K535-1     27.2
                    683    97AME     2        5       18     K536-1     41.5
                    684    97AME     2        9       19     K538-1     32.3
                    685    97AME     2        5       20     K546-1     35.0
                    686    97AME     2       10       21     K551-1     36.9
                    687    97AME     2        4       22     K553-1     27.1
                    688    97AME     2        8       23     K555-1     47.1
                    689    97AME     2        3       24     K557-1     13.5
                    690    97AME     2       12       25     K567-1     38.3
                    691    97AME     2        2       26     K569-1     46.0
                    692    97AME     2        5       27     K571-1     49.3
                    693    97AME     2        8       28     K576-1     34.2
                    694    97AME     2        6       29     K577-1     40.1
                    695    97AME     2        6       30     K468-2     19.7
                    696    97AME     2        1       31     K480-2     18.8
                    697    97AME     2        8       32     K487-2     39.3
                    698    97AME     2        5       33     K490-2     34.5
                    699    97AME     2       11       34     K492-2     51.9
                    700    97AME     2        6       35     K494-2     44.9
                                         The SAS System     11:42 Thursday, November 1, 2001  15

                    Obs     env     rep    block    entry     line     yield

                    701    97AME     2        5       36     K495-2     18.5
                    702    97AME     2        5       37     K497-2     23.5
                    703    97AME     2       10       38     K498-2     48.7
                    704    97AME     2        3       39     K499-2     45.4
                    705    97AME     2        9       40     K514-2     43.9
                    706    97AME     2        8       41     K507-2     43.3
                    707    97AME     2       12       42     K508-2     55.4
                    708    97AME     2       12       43     K515-2     48.1
                    709    97AME     2        2       44     K573-4     19.4
                    710    97AME     2       11       45     K524-2     34.6
                    711    97AME     2        2       46     K525-2     40.8
                    712    97AME     2       12       47     K534-2     56.5
                    713    97AME     2        8       48     K542-2     45.2
                    714    97AME     2        7       49     K543-2     50.8
                    715    97AME     2       10       50     K555-2      6.6
                    716    97AME     2        4       51     K561-2     39.2
                    717    97AME     2       12       52     K566-2     44.7
                    718    97AME     2        5       53     K569-2     45.1
                    719    97AME     2       12       54     K573-2     19.7
                    720    97AME     2        7       55     K577-2     40.5
                    721    97AME     2       12       56     K469-3     48.6
                    722    97AME     2        7       57     K471-3     41.9
                    723    97AME     2       12       58     K473-3     41.6
                    724    97AME     2        7       59     K531-4     44.7
                    725    97AME     2        1       60     K487-4     16.4
                    726    97AME     2        3       61     K491-3     46.6
                    727    97AME     2        4       62     K495-3     39.3
                    728    97AME     2        1       63     K501-3     32.4
                    729    97AME     2       10       64     K502-3     49.2
                    730    97AME     2        5       65     K556-4     35.3
                    731    97AME     2        7       66     K513-3     39.1
                    732    97AME     2       11       67     K514-3     37.7
                    733    97AME     2        7       68     K469-4     47.2
                    734    97AME     2       11       69     K524-3     53.5
                    735    97AME     2        3       70     K526-3     24.3
                    736    97AME     2        2       71     K530-3     33.6
                    737    97AME     2        9       72     K531-3     43.4
                    738    97AME     2       11       73     K532-3     27.4
                    739    97AME     2        2       74     K538-3     42.6
                    740    97AME     2        6       75     K544-3     46.5
                    741    97AME     2        5       76     K546-3     41.7
                    742    97AME     2        3       77     K543-4     26.3
                    743    97AME     2        4       78     K550-3     36.1
                    744    97AME     2        1       79     K552-3       .
                    745    97AME     2        4       80     K555-3     14.6
                    746    97AME     2        7       81     K556-3     28.1
                    747    97AME     2        6       82     K557-3     40.9
                    748    97AME     2        6       83     K546-4     45.5
                    749    97AME     2       12       84     K563-4     54.8
                    750    97AME     2        3       85     K567-3     14.0
                                         The SAS System     11:42 Thursday, November 1, 2001  16

                    Obs     env     rep    block    entry     line     yield

                    751    97AME     2        6       86     K571-3       .
                    752    97AME     2       12       87     K573-3     11.2
                    753    97AME     2        7       88     K574-3     40.9
                    754    97AME     2        5       89     K491-1     17.2
                    755    97AME     2        5       90     K564-2     29.2
                    756    97AME     2        5       91     K528-4     33.9
                    757    97AME     2        8       92     K466-3     45.8
                    758    97AME     2        4       93     K575-3     48.3
                    759    97AME     2        3       94     K511-2     29.4
                    760    97AME     2        6       95     K557-2     47.4
                    761    97AME     3        7        1     K475-1     41.6
                    762    97AME     3        1        2     K478-1     45.2
                    763    97AME     3        5        3     K483-1     16.4
                    764    97AME     3        5        4     K489-1     36.4
                    765    97AME     3        9        5     K490-1     39.1
                    766    97AME     3        8        6     K492-1     37.7
                    767    97AME     3       10        7     K493-1     30.8
                    768    97AME     3        3        8     K498-1     28.8
                    769    97AME     3       12        9     K499-1     41.8
                    770    97AME     3        3       10     K500-1     36.5
                    771    97AME     3       12       11     K505-1     26.6
                    772    97AME     3       10       12     K507-1       .
                    773    97AME     3       12       13     K510-1     32.2
                    774    97AME     3        3       14     K528-1     32.1
                    775    97AME     3       11       15     K530-1     17.7
                    776    97AME     3        4       16     K533-1     42.4
                    777    97AME     3       11       17     K535-1     44.9
                    778    97AME     3        5       18     K536-1     43.8
                    779    97AME     3        7       19     K538-1     10.6
                    780    97AME     3        1       20     K546-1     49.3
                    781    97AME     3        7       21     K551-1     46.3
                    782    97AME     3        3       22     K553-1     42.5
                    783    97AME     3        6       23     K555-1     45.1
                    784    97AME     3       12       24     K557-1     42.5
                    785    97AME     3        7       25     K567-1     42.6
                    786    97AME     3        8       26     K569-1     33.2
                    787    97AME     3        4       27     K571-1     58.6
                    788    97AME     3        3       28     K576-1     30.5
                    789    97AME     3       11       29     K577-1     33.8
                    790    97AME     3        6       30     K468-2     23.4
                    791    97AME     3        1       31     K480-2     58.1
                    792    97AME     3        7       32     K487-2     39.1
                    793    97AME     3       12       33     K490-2     35.6
                    794    97AME     3        8       34     K492-2     17.4
                    795    97AME     3        7       35     K494-2     44.4
                    796    97AME     3        3       36     K495-2     30.0
                    797    97AME     3       10       37     K497-2     48.9
                    798    97AME     3        1       38     K498-2     19.3
                    799    97AME     3       11       39     K499-2     57.8
                    800    97AME     3        8       40     K514-2     47.3
                                         The SAS System     11:42 Thursday, November 1, 2001  17

                    Obs     env     rep    block    entry     line     yield

                    801    97AME     3        5       41     K507-2     25.4
                    802    97AME     3        5       42     K508-2     45.1
                    803    97AME     3        1       43     K515-2     24.5
                    804    97AME     3        9       44     K573-4     58.0
                    805    97AME     3        9       45     K524-2     50.9
                    806    97AME     3        3       46     K525-2     69.1
                    807    97AME     3        2       47     K534-2     34.2
                    808    97AME     3       11       48     K542-2     34.3
                    809    97AME     3        6       49     K543-2     63.9
                    810    97AME     3        4       50     K555-2     49.6
                    811    97AME     3        2       51     K561-2     43.4
                    812    97AME     3       12       52     K566-2     43.0
                    813    97AME     3        2       53     K569-2     18.1
                    814    97AME     3       11       54     K573-2     35.5
                    815    97AME     3        2       55     K577-2     22.3
                    816    97AME     3       10       56     K469-3     32.3
                    817    97AME     3       10       57     K471-3     48.6
                    818    97AME     3        9       58     K473-3     44.7
                    819    97AME     3        9       59     K531-4      5.8
                    820    97AME     3       12       60     K487-4     36.9
                    821    97AME     3        8       61     K491-3     48.8
                    822    97AME     3       10       62     K495-3     26.5
                    823    97AME     3       10       63     K501-3     35.7
                    824    97AME     3        2       64     K502-3     26.3
                    825    97AME     3        8       65     K556-4     43.3
                    826    97AME     3        4       66     K513-3     39.3
                    827    97AME     3        6       67     K514-3     52.4
                    828    97AME     3       12       68     K469-4     49.2
                    829    97AME     3        4       69     K524-3     46.1
                    830    97AME     3       10       70     K526-3     30.1
                    831    97AME     3       11       71     K530-3     29.8
                    832    97AME     3       11       72     K531-3     49.1
                    833    97AME     3        3       73     K532-3     40.6
                    834    97AME     3        6       74     K538-3     52.9
                    835    97AME     3        8       75     K544-3     33.0
                    836    97AME     3        6       76     K546-3     50.2
                    837    97AME     3        4       77     K543-4      6.0
                    838    97AME     3        8       78     K550-3     35.1
                    839    97AME     3        6       79     K552-3       .
                    840    97AME     3        7       80     K555-3     35.9
                    841    97AME     3       11       81     K556-3     35.8
                    842    97AME     3        5       82     K557-3     32.8
                    843    97AME     3       12       83     K546-4     51.1
                    844    97AME     3        6       84     K563-4     66.4
                    845    97AME     3        5       85     K567-3     58.0
                    846    97AME     3        2       86     K571-3       .
                    847    97AME     3        8       87     K573-3     49.7
                    848    97AME     3        7       88     K574-3     41.1
                    849    97AME     3        7       89     K491-1     27.8
                    850    97AME     3        9       90     K564-2     39.8
                                         The SAS System     11:42 Thursday, November 1, 2001  18

                    Obs     env     rep    block    entry     line     yield

                    851    97AME     3       11       91     K528-4     34.6
                    852    97AME     3       10       92     K466-3     17.6
                    853    97AME     3       12       93     K575-3     38.6
                    854    97AME     3        1       94     K511-2     38.2
                    855    97AME     3        4       95     K557-2     40.1
                    856    97CRA     1        7        1     K475-1     30.9
                    857    97CRA     1        2        2     K478-1      8.9
                    858    97CRA     1        6        3     K483-1     27.3
                    859    97CRA     1        8        4     K489-1     39.3
                    860    97CRA     1        7        5     K490-1     32.5
                    861    97CRA     1        4        6     K492-1     40.0
                    862    97CRA     1       12        7     K493-1     37.2
                    863    97CRA     1       10        8     K498-1     33.0
                    864    97CRA     1       11        9     K499-1     27.9
                    865    97CRA     1        8       10     K500-1     22.1
                    866    97CRA     1        9       11     K505-1     20.5
                    867    97CRA     1        5       12     K507-1       .
                    868    97CRA     1       10       13     K510-1     32.0
                    869    97CRA     1        1       14     K528-1     32.4
                    870    97CRA     1        9       15     K530-1     28.4
                    871    97CRA     1        7       16     K533-1     36.7
                    872    97CRA     1        8       17     K535-1     33.5
                    873    97CRA     1        8       18     K536-1     35.1
                    874    97CRA     1       12       19     K538-1     25.8
                    875    97CRA     1       10       20     K546-1     26.6
                    876    97CRA     1       11       21     K551-1     37.8
                    877    97CRA     1        1       22     K553-1     31.3
                    878    97CRA     1        7       23     K555-1     35.6
                    879    97CRA     1        5       24     K557-1     31.7
                    880    97CRA     1        9       25     K567-1     21.1
                    881    97CRA     1       11       26     K569-1     26.2
                    882    97CRA     1       11       27     K571-1     29.7
                    883    97CRA     1        2       28     K576-1     44.3
                    884    97CRA     1        4       29     K577-1     33.5
                    885    97CRA     1        6       30     K468-2     27.5
                    886    97CRA     1        1       31     K480-2     25.6
                    887    97CRA     1       10       32     K487-2     35.5
                    888    97CRA     1        7       33     K490-2     25.8
                    889    97CRA     1        8       34     K492-2     23.5
                    890    97CRA     1       10       35     K494-2     33.7
                    891    97CRA     1        3       36     K495-2     39.1
                    892    97CRA     1        3       37     K497-2     35.0
                    893    97CRA     1        5       38     K498-2     24.3
                    894    97CRA     1        8       39     K499-2     39.3
                    895    97CRA     1       12       40     K514-2     19.8
                    896    97CRA     1        4       41     K507-2     22.3
                    897    97CRA     1       11       42     K508-2     37.9
                    898    97CRA     1        3       43     K515-2     34.3
                    899    97CRA     1        2       44     K573-4     39.5
                    900    97CRA     1       10       45     K524-2     43.6
                                         The SAS System     11:42 Thursday, November 1, 2001  19

                    Obs     env     rep    block    entry     line     yield

                    901    97CRA     1        8       46     K525-2     40.4
                    902    97CRA     1       12       47     K534-2     18.8
                    903    97CRA     1        9       48     K542-2     35.5
                    904    97CRA     1        2       49     K543-2     37.7
                    905    97CRA     1        3       50     K555-2     27.1
                    906    97CRA     1       10       51     K561-2     38.5
                    907    97CRA     1        2       52     K566-2     29.5
                    908    97CRA     1       11       53     K569-2     31.5
                    909    97CRA     1        7       54     K573-2     30.6
                    910    97CRA     1       10       55     K577-2     30.0
                    911    97CRA     1        6       56     K469-3     28.1
                    912    97CRA     1        2       57     K471-3       .
                    913    97CRA     1        9       58     K473-3     32.8
                    914    97CRA     1        5       59     K531-4     30.5
                    915    97CRA     1        4       60     K487-4     24.3
                    916    97CRA     1        6       61     K491-3     31.2
                    917    97CRA     1        4       62     K495-3     21.5
                    918    97CRA     1        4       63     K501-3     41.5
                    919    97CRA     1       11       64     K502-3     24.3
                    920    97CRA     1       10       65     K556-4     29.7
                    921    97CRA     1        5       66     K513-3     28.1
                    922    97CRA     1        7       67     K514-3       .
                    923    97CRA     1       11       68     K469-4     41.7
                    924    97CRA     1        5       69     K524-3     34.5
                    925    97CRA     1        3       70     K526-3     35.7
                    926    97CRA     1       10       71     K530-3     42.2
                    927    97CRA     1        3       72     K531-3     30.4
                    928    97CRA     1        6       73     K532-3     26.3
                    929    97CRA     1        8       74     K538-3     46.6
                    930    97CRA     1       12       75     K544-3     30.3
                    931    97CRA     1        1       76     K546-3     23.8
                    932    97CRA     1       11       77     K543-4     38.3
                    933    97CRA     1        9       78     K550-3     31.2
                    934    97CRA     1        2       79     K552-3       .
                    935    97CRA     1        9       80     K555-3     27.9
                    936    97CRA     1       10       81     K556-3     29.5
                    937    97CRA     1        1       82     K557-3     35.7
                    938    97CRA     1        5       83     K546-4     35.4
                    939    97CRA     1        7       84     K563-4     31.5
                    940    97CRA     1        2       85     K567-3     34.0
                    941    97CRA     1        6       86     K571-3       .
                    942    97CRA     1        4       87     K573-3     20.8
                    943    97CRA     1        6       88     K574-3     38.8
                    944    97CRA     1       12       89     K491-1     30.4
                    945    97CRA     1        9       90     K564-2     29.0
                    946    97CRA     1        1       91     K528-4     53.9
                    947    97CRA     1        3       92     K466-3     30.8
                    948    97CRA     1        3       93     K575-3     34.6
                    949    97CRA     1        8       94     K511-2     32.7
                    950    97CRA     1       11       95     K557-2     18.7
                                         The SAS System     11:42 Thursday, November 1, 2001  20

                    Obs     env     rep    block    entry     line     yield

                    951    97CRA     2        4        1     K475-1     34.2
                    952    97CRA     2        4        2     K478-1     18.5
                    953    97CRA     2        1        3     K483-1     50.2
                    954    97CRA     2        9        4     K489-1     32.2
                    955    97CRA     2       10        5     K490-1     30.8
                    956    97CRA     2        9        6     K492-1     28.0
                    957    97CRA     2        3        7     K493-1     40.8
                    958    97CRA     2        5        8     K498-1     24.5
                    959    97CRA     2        3        9     K499-1     23.8
                    960    97CRA     2        7       10     K500-1     31.8
                    961    97CRA     2       12       11     K505-1     26.5
                    962    97CRA     2        7       12     K507-1       .
                    963    97CRA     2       12       13     K510-1     43.1
                    964    97CRA     2        5       14     K528-1     43.9
                    965    97CRA     2        7       15     K530-1     35.3
                    966    97CRA     2        1       16     K533-1     36.3
                    967    97CRA     2        8       17     K535-1     40.4
                    968    97CRA     2       10       18     K536-1     43.1
                    969    97CRA     2        6       19     K538-1     26.1
                    970    97CRA     2        1       20     K546-1     22.3
                    971    97CRA     2        6       21     K551-1     31.2
                    972    97CRA     2        3       22     K553-1     40.0
                    973    97CRA     2        9       23     K555-1     26.1
                    974    97CRA     2       11       24     K557-1     48.1
                    975    97CRA     2        1       25     K567-1     29.9
                    976    97CRA     2        2       26     K569-1     43.6
                    977    97CRA     2        9       27     K571-1     33.0
                    978    97CRA     2        8       28     K576-1     24.9
                    979    97CRA     2        5       29     K577-1     11.2
                    980    97CRA     2        5       30     K468-2     23.4
                    981    97CRA     2        4       31     K480-2     25.9
                    982    97CRA     2        4       32     K487-2     30.3
                    983    97CRA     2        7       33     K490-2     29.4
                    984    97CRA     2        5       34     K492-2     31.9
                    985    97CRA     2        9       35     K494-2     35.9
                    986    97CRA     2        5       36     K495-2     41.0
                    987    97CRA     2        8       37     K497-2     40.8
                    988    97CRA     2       10       38     K498-2     16.2
                    989    97CRA     2       12       39     K499-2     33.9
                    990    97CRA     2       11       40     K514-2     25.7
                    991    97CRA     2        7       41     K507-2     26.3
                    992    97CRA     2       12       42     K508-2     28.0
                    993    97CRA     2        7       43     K515-2     34.5
                    994    97CRA     2        3       44     K573-4     23.9
                    995    97CRA     2        7       45     K524-2     17.8
                    996    97CRA     2        2       46     K525-2     28.4
                    997    97CRA     2        2       47     K534-2     28.0
                    998    97CRA     2       10       48     K542-2     28.6
                    999    97CRA     2        5       49     K543-2     34.3
                   1000    97CRA     2        6       50     K555-2     19.2
                                         The SAS System     11:42 Thursday, November 1, 2001  21

                    Obs     env     rep    block    entry     line     yield

                   1001    97CRA     2        6       51     K561-2     31.3
                   1002    97CRA     2       10       52     K566-2     34.8
                   1003    97CRA     2       11       53     K569-2     31.3
                   1004    97CRA     2        6       54     K573-2     34.3
                   1005    97CRA     2        2       55     K577-2     23.6
                   1006    97CRA     2        4       56     K469-3     18.8
                   1007    97CRA     2       12       57     K471-3     37.4
                   1008    97CRA     2        3       58     K473-3     34.0
                   1009    97CRA     2        8       59     K531-4     30.0
                   1010    97CRA     2        8       60     K487-4     24.1
                   1011    97CRA     2       10       61     K491-3     36.2
                   1012    97CRA     2       12       62     K495-3     32.4
                   1013    97CRA     2        3       63     K501-3     31.3
                   1014    97CRA     2        5       64     K502-3     24.8
                   1015    97CRA     2       11       65     K556-4     37.3
                   1016    97CRA     2        9       66     K513-3     30.0
                   1017    97CRA     2        5       67     K514-3     27.3
                   1018    97CRA     2        4       68     K469-4     27.3
                   1019    97CRA     2        4       69     K524-3     28.9
                   1020    97CRA     2        3       70     K526-3     26.2
                   1021    97CRA     2       10       71     K530-3     37.1
                   1022    97CRA     2        9       72     K531-3     23.8
                   1023    97CRA     2        6       73     K532-3     37.1
                   1024    97CRA     2        4       74     K538-3     44.5
                   1025    97CRA     2        5       75     K544-3     35.0
                   1026    97CRA     2        8       76     K546-3     28.4
                   1027    97CRA     2        7       77     K543-4     17.5
                   1028    97CRA     2        6       78     K550-3     26.8
                   1029    97CRA     2        1       79     K552-3       .
                   1030    97CRA     2        5       80     K555-3     19.1
                   1031    97CRA     2        3       81     K556-3     23.9
                   1032    97CRA     2        2       82     K557-3     33.5
                   1033    97CRA     2       12       83     K546-4     31.2
                   1034    97CRA     2        3       84     K563-4     43.7
                   1035    97CRA     2        9       85     K567-3     24.4
                   1036    97CRA     2        2       86     K571-3       .
                   1037    97CRA     2        6       87     K573-3     31.4
                   1038    97CRA     2        9       88     K574-3     26.2
                   1039    97CRA     2        1       89     K491-1     39.2
                   1040    97CRA     2        2       90     K564-2     26.8
                   1041    97CRA     2        7       91     K528-4     48.3
                   1042    97CRA     2       11       92     K466-3     27.9
                   1043    97CRA     2        2       93     K575-3     38.0
                   1044    97CRA     2        6       94     K511-2     30.5
                   1045    97CRA     2        8       95     K557-2     32.9
                   1046    97CRA     3        1        1     K475-1     40.6
                   1047    97CRA     3       11        2     K478-1     37.2
                   1048    97CRA     3        2        3     K483-1     28.4
                   1049    97CRA     3        1        4     K489-1     33.3
                   1050    97CRA     3        9        5     K490-1     50.4
                                         The SAS System     11:42 Thursday, November 1, 2001  22

                    Obs     env     rep    block    entry     line     yield

                   1051    97CRA     3        8        6     K492-1     39.1
                   1052    97CRA     3        6        7     K493-1     26.2
                   1053    97CRA     3        8        8     K498-1     17.9
                   1054    97CRA     3       11        9     K499-1     29.5
                   1055    97CRA     3       10       10     K500-1     37.7
                   1056    97CRA     3        3       11     K505-1     35.0
                   1057    97CRA     3        9       12     K507-1       .
                   1058    97CRA     3        6       13     K510-1     18.3
                   1059    97CRA     3       12       14     K528-1     38.7
                   1060    97CRA     3       11       15     K530-1     24.1
                   1061    97CRA     3        3       16     K533-1     24.7
                   1062    97CRA     3       11       17     K535-1     47.0
                   1063    97CRA     3        3       18     K536-1     24.7
                   1064    97CRA     3        7       19     K538-1     33.9
                   1065    97CRA     3        9       20     K546-1     31.0
                   1066    97CRA     3        8       21     K551-1     44.2
                   1067    97CRA     3        8       22     K553-1     29.7
                   1068    97CRA     3       11       23     K555-1     30.9
                   1069    97CRA     3        7       24     K557-1     37.4
                   1070    97CRA     3        1       25     K567-1     21.7
                   1071    97CRA     3        7       26     K569-1     35.1
                   1072    97CRA     3        2       27     K571-1     28.9
                   1073    97CRA     3        1       28     K576-1     29.1
                   1074    97CRA     3       11       29     K577-1     26.7
                   1075    97CRA     3        1       30     K468-2     26.5
                   1076    97CRA     3        5       31     K480-2     27.4
                   1077    97CRA     3       12       32     K487-2     34.4
                   1078    97CRA     3       12       33     K490-2     34.8
                   1079    97CRA     3        9       34     K492-2     23.6
                   1080    97CRA     3        4       35     K494-2     40.9
                   1081    97CRA     3        5       36     K495-2     23.3
                   1082    97CRA     3        7       37     K497-2     34.4
                   1083    97CRA     3        1       38     K498-2     28.8
                   1084    97CRA     3        8       39     K499-2     32.1
                   1085    97CRA     3       11       40     K514-2     37.6
                   1086    97CRA     3        3       41     K507-2     30.7
                   1087    97CRA     3       12       42     K508-2     33.3
                   1088    97CRA     3        4       43     K515-2     31.7
                   1089    97CRA     3        4       44     K573-4     31.9
                   1090    97CRA     3        7       45     K524-2     29.8
                   1091    97CRA     3        4       46     K525-2     31.0
                   1092    97CRA     3        1       47     K534-2     31.9
                   1093    97CRA     3       10       48     K542-2     27.9
                   1094    97CRA     3        9       49     K543-2     33.6
                   1095    97CRA     3       11       50     K555-2     37.3
                   1096    97CRA     3        1       51     K561-2     42.8
                   1097    97CRA     3        2       52     K566-2     36.7
                   1098    97CRA     3        9       53     K569-2     33.6
                   1099    97CRA     3        4       54     K573-2     19.0
                   1100    97CRA     3       10       55     K577-2     37.8
                                         The SAS System     11:42 Thursday, November 1, 2001  23

                    Obs     env     rep    block    entry     line     yield

                   1101    97CRA     3        7       56     K469-3     25.3
                   1102    97CRA     3        7       57     K471-3     33.9
                   1103    97CRA     3       12       58     K473-3     31.3
                   1104    97CRA     3        6       59     K531-4     34.9
                   1105    97CRA     3        2       60     K487-4     31.4
                   1106    97CRA     3        6       61     K491-3     33.2
                   1107    97CRA     3        5       62     K495-3     29.5
                   1108    97CRA     3        1       63     K501-3     28.7
                   1109    97CRA     3        6       64     K502-3     27.4
                   1110    97CRA     3        2       65     K556-4     39.2
                   1111    97CRA     3       10       66     K513-3     32.4
                   1112    97CRA     3        2       67     K514-3     39.3
                   1113    97CRA     3       10       68     K469-4     34.9
                   1114    97CRA     3        8       69     K524-3     37.9
                   1115    97CRA     3       10       70     K526-3     28.0
                   1116    97CRA     3       11       71     K530-3     35.6
                   1117    97CRA     3        3       72     K531-3     30.9
                   1118    97CRA     3        3       73     K532-3     29.8
                   1119    97CRA     3        6       74     K538-3     32.9
                   1120    97CRA     3        3       75     K544-3     37.5
                   1121    97CRA     3       10       76     K546-3     31.7
                   1122    97CRA     3        1       77     K543-4     19.1
