                                         The SAS System     11:42 Thursday, November 1, 2001   1

                    Obs     env     rep    block    entry     line     yield
                    133    96AME     2        3       38     K498-2     31.0
                    134    96AME     2        8       39     K499-2     34.7
                    135    96AME     2        9       40     K514-2     35.0
                    136    96AME     2       10       41     K507-2     46.4
                    137    96AME     2       11       42     K508-2     44.2
                    138    96AME     2        4       43     K515-2     28.6
                    139    96AME     2       10       44     K573-4     37.4
                    140    96AME     2        8       45     K524-2     34.4
                    141    96AME     2       10       46     K525-2     40.8
                    142    96AME     2        3       47     K534-2     30.8
                    143    96AME     2        9       48     K542-2     23.9
                    144    96AME     2        4       49     K543-2     29.9
                    145    96AME     2        5       50     K555-2     38.5
                    146    96AME     2        7       51     K561-2     22.9
                    147    96AME     2        4       52     K566-2     36.2
                    148    96AME     2        1       53     K569-2     37.5
                    149    96AME     2        3       54     K573-2     27.0
                    150    96AME     2        7       55     K577-2     34.9
                                         The SAS System     11:42 Thursday, November 1, 2001   4

                    Obs     env     rep    block    entry     line     yield

                    151    96AME     2        7       56     K469-3     36.8
                    152    96AME     2        4       57     K471-3     27.9
                    153    96AME     2        1       58     K473-3     40.6
                    154    96AME     2       12       59     K531-4     26.4
                    155    96AME     2        6       60     K487-4     31.7
                    156    96AME     2       10       61     K491-3     35.5
                    157    96AME     2        9       62     K495-3     28.3
                    158    96AME     2        4       63     K501-3     41.8
                    159    96AME     2       11       64     K502-3     29.7
                    160    96AME     2        1       65     K556-4     31.4
                    161    96AME     2        8       66     K513-3     30.9
                    162    96AME     2       11       67     K514-3     37.8
                    163    96AME     2       12       68     K469-4     37.8
                    164    96AME     2        8       69     K524-3     31.8
                    165    96AME     2        6       70     K526-3     30.1
                    166    96AME     2        7       71     K530-3     36.2
                    167    96AME     2       11       72     K531-3     26.1
                    168    96AME     2        8       73     K532-3     40.6
                    169    96AME     2        6       74     K538-3     42.7
                    170    96AME     2        7       75     K544-3     23.7
                    171    96AME     2        7       76     K546-3     37.9
                    172    96AME     2        5       77     K543-4     23.5
                    173    96AME     2       10       78     K550-3     46.6
                    174    96AME     2        9       79     K552-3     47.2
                    175    96AME     2        2       80     K555-3     24.1
                    176    96AME     2        4       81     K556-3     32.4
                    177    96AME     2        7       82     K557-3     36.9
                    178    96AME     2        6       83     K546-4     28.8
                    179    96AME     2        3       84     K563-4     36.7
                    180    96AME     2       11       85     K567-3     33.1
                    181    96AME     2        5       86     K571-3       .
                    182    96AME     2        2       87     K573-3     36.7
                    183    96AME     2        2       88     K574-3     36.5
                    184    96AME     2        6       89     K491-1     35.4
                    185    96AME     2        9       90     K564-2     10.0
                    186    96AME     2        3       91     K528-4     38.7
                    187    96AME     2        9       92     K466-3     25.4
                    188    96AME     2       11       93     K575-3     26.2
                    189    96AME     2        2       94     K511-2     41.5
                    190    96AME     2        1       95     K557-2     33.0
                    191    96AME     3       12        1     K475-1     44.3
                    192    96AME     3        3        2     K478-1     31.6
                    193    96AME     3        4        3     K483-1     37.0
                    194    96AME     3        7        4     K489-1     30.6
                    195    96AME     3        4        5     K490-1     40.2
                    196    96AME     3       11        6     K492-1     26.3
                    197    96AME     3       12        7     K493-1     38.5
                    198    96AME     3        7        8     K498-1     27.8
                    199    96AME     3        3        9     K499-1     36.7
                    200    96AME     3        9       10     K500-1     30.2
                                         The SAS System     11:42 Thursday, November 1, 2001   5

